Metadata_platename,Metadata_well,sen_score,std_sen_score,cell_no,number_sen
E31L458-0-5,B18,2.5511749099816963,0.6630828036991888,31,6
E31L458-0-5,B19,2.7061674943842173,0.7205388456867413,880,217
E31L458-0-5,B20,2.7008868844513074,0.6797301964940214,1099,247
E31L458-0-5,B21,2.7218252702880568,0.7167061604789148,1041,251
E31L458-0-5,B22,2.6662766948606693,0.7448090053701633,1006,244
E31L458-0-5,B23,2.689692165634347,0.7784488465522592,966,254
E31L458-0-5,B24,2.7108246391780053,0.7468486022906986,939,237
E31L458-0-5,C01,2.686643789812429,0.7758756490719027,1022,267
E31L458-0-5,C02,2.7692653238059486,0.6778789133424142,677,172
E31L458-0-5,C03,2.698692158456592,0.7279097424474518,1029,261
E31L458-0-5,C04,2.7022187676953773,0.7071884374693439,1106,251
E31L458-0-5,C05,2.8172802094275755,0.7161258829496155,1142,328
E31L458-0-5,C06,2.7139487062684298,0.737884557505995,1140,285
E31L458-0-5,C07,2.719838764601166,0.6888769840920107,1129,276
E31L458-0-5,C08,2.8403512996700524,0.7395393136308754,962,299
E31L458-0-5,C09,2.7377438717005256,0.700981379984626,964,259
E31L458-0-5,C10,2.761411408552958,0.7087477080612111,1141,304
E31L458-0-5,C11,2.746534781285166,0.7088920866370868,1068,277
E31L458-0-5,C12,2.724670436790542,0.7065370115402144,1105,274
E31L458-0-5,C13,2.693073198353859,0.7137465777762244,1027,245
E31L458-0-5,C14,2.6758716804983314,0.7448492223687596,1012,296
E31L458-0-5,C15,2.745313276154257,0.6921446992916396,1172,295
E31L458-0-5,C16,2.739471572728014,0.7217625851108835,1135,287
E31L458-0-5,C17,2.7482694746926213,0.7230365432986513,1027,268
E31L458-0-5,C18,2.6889298605625,0.7083056931742819,1008,228
E31L458-0-5,C19,2.6976329678249993,0.719402498085843,1086,271
E31L458-0-5,C20,2.7709243263548062,0.7074332984400334,1170,317
E31L458-0-5,C21,2.726368699740993,0.7260136003917446,1230,332
E31L458-0-5,C22,2.674788463505387,0.7131091349305974,960,226
